Your session has expired,A sua sessão expirou
Buy Now,Compre Agora
Buy It Now,Compre agora
Click to enlarge,Clique para ampliar
Customize and Add to Cart,Personalize e adicione ao carrinho
Sold:,Vendido:
Add to Wish List,Adicionar a lista de desejos
Add to Compare,Adicionar para comparar
No products were found matching your condition.,Não foram encontrados produtos que correspondam à sua condição.
Select Product,Selecione o produto
Quick Add,Adição rápida
Save %1,Salvar %1
No options of this product are available.,Nenhuma opção deste produto estão disponíveis.
Submit,Enviar
"Error! Please enter User ID, Access Token, User Name Instagram.","Erro! Por favor, insira o ID do usuário, token de acesso, nome de usuário Instagram."
Fetch Posts Via API Successfully.,Buscar postagens via API com sucesso.
Error! Please Try Again.,"Erro! Por favor, tente novamente."
You saved the configuration.,Você salvou a configuração.
Run,Corre
Collect Product Data Rate Successfully.,Taxa de coleta de dados do produto com sucesso.
%1 and above,%1 e acima
%1 - %2,%1 - %2
"Sorry, something went wrong. You can find out more in the error log.","Desculpe, algo deu errado. Você pode descobrir mais no log de erros."
Bucket does not exist,O intervalo não existe
item,item
items,Itens
Show More,Mostre mais
Now Shopping by,Agora comprando por
Previous,Anterior
Remove,Remover
Shop By,Comprar por
Clear All,Limpar tudo
Loading,Carregando
Clear Flat Data Menu,Limpar Menu de Dados Simples
Export,Exportar
Clear Cache Flat Data Menu,Limpar Menu de Dados Planos de Cache
Reset,Redefinir
Save and Continue Edit,Salvar e Continuar Editar
Back,De volta
Delete,Excluir
Save,Salvar
Create Menu,Criar Menu
Cms Page,página cms
Category,Categoria
Custom Link,Link personalizado
Edit,Editar
Cms Block Insertion,Inserção de Bloco de Cms
Insert Cms Block,Inserir Bloco de Cms
Cancel,Cancelar
Inserting a widget does not create a widget instance.,Inserir um widget não cria uma instância de widget.
Widget Type,Tipo de widget
-- Please Select --,-- Por favor selecione --
Delete Success,Excluir sucesso
We can't find an store to delete.,Não encontramos uma loja para excluir.
This pattern no longer exists.,Esse padrão não existe mais.
New Menus,Novos Menus
Edit Menus,Editar menus
Menus,Menus
Menu does not exist.,Menu não existe.
Exported Success.,Sucesso exportado.
Run Flat Data Menu Success.,Execute o menu Flat Data com sucesso.
Import Menus,Importar Menus
The menus has been saved.,Os menus foram salvos.
Something went wrong while saving the menus.,Algo deu errado ao salvar os menus.
Create menus Success.,Criar menus Sucesso.
Please enter full information so you can create menus.,"Por favor, insira informações completas para que você possa criar menus."
Incorrect upload file format.,Formato de arquivo de upload incorreto.
Menu Name,Nome do Menu
Import Menus Success.,Sucesso na importação de menus.
Import failed.,Falha na importação.
Do not show,Não mostre
Show / Hide Editor,Mostrar/Ocultar Editor
New,Novo
Sale,Oferta
Hot,Quente
Standard Submenu,Submenu padrão
Multicolumn Submenu,Submenu de várias colunas
Block Content,Bloquear conteúdo
Repeat,Repetir
No Repeat,Sem repetição
Repeat X,Repetir X
Repeat Y,Repetir Y
Center,Centro
Center Left,centro-esquerda
Center Right,centro direita
Top Left,Canto superior esquerdo
Top Center,Centro Superior
Top Right,Canto superior direito
Bottom Left,Inferior esquerdo
Bottom Center,Central inferior
Bottom Right,Canto inferior direito
Keep original,Mantenha-se original
Stretch to width,Esticar para a largura
Stretch to height,Esticar até a altura
Cover,Cobrir
Contain,Conter
Title,Título
URL,URL
Add Class,Adicionar classe
Add Label,Adicionar etiqueta
Select Label,Selecionar etiqueta
Icon Image,Imagem do ícone
Icon Font Class,Classe de fonte do ícone
Options of Dropdown,Opções de menu suspenso
Submenu Type,Tipo de submenu
Submenu Columns,Colunas do submenu
Full Width,Largura completa
Dynamic Content,Conteúdo Dinâmico
Background Image,Imagem de fundo
Add Block Content Html,Adicionar Html de conteúdo de bloco
Block Top,Bloco Topo
Block Bottom,Parte inferior do bloco
Block Left,Bloquear à Esquerda
Left Block Width,Largura do Bloco Esquerdo
Block Right,Bloquear à direita
Right Block Width,Largura do bloco direito
Something went wrong while getting the image url.,Algo deu errado ao obter o URL da imagem.
None,Nenhum
Unfold,Desdobrar
Fading,Desbotando
Down to Up,De baixo para cima
Dropdown,Suspenso
name,nome
description,Descrição
Add menu items,Adicionar itens de menu
Select All,Selecionar tudo
Add to Menu,Adicionar ao Menu
Categories,Categorias
Custom Links,Links personalizados
Link Text,Texto do link
Menu structure,Estrutura do menu
"Drag the items into the order you prefer. 
                    Click the arrow on the right of the item to reveal additional configuration options.",Arraste os itens na ordem que preferir. Clique na seta à direita do item para revelar opções de configuração adicionais.
Edit menu item,Editar item de menu
Close,Perto
Menu Type,Tipo de menu
Horizontal,Horizontal
Vertical,Vertical
"Give your menu a name, then click Create Menu.",Dê um nome ao seu menu e clique em Criar Menu.
Menu,Menu
Toggle Nav,Alternar navegação
More Menus,Mais menus
Address Information,Informação de Endereço
Save Position,Salvar posição
Manage Fields,Gerenciar campos
One Page Checkout,Check-out de uma página
Error during save field position.,Erro ao salvar a posição do campo.
All fields have been saved.,Todos os campos foram salvos.
One-page checkout is turned off.,O checkout de uma página está desativado.
Guest checkout is disabled.,O check-out do convidado está desativado.
Express Checkout,Checkout expresso
This quote does not exist.,Esta citação não existe.
We can't find the quote item.,Não encontramos o item de cotação.
%1 was removed in your shopping cart.,%1 foi removido do seu carrinho de compras.
%1 was updated in your shopping cart.,%1 foi atualizado em seu carrinho de compras.
label,etiqueta
"""%fieldName"" is required. Enter and try again.","""%fieldName"" é obrigatório. Entre e tente novamente."
Customer Delivery Date:,Data de entrega do cliente:
Customer Delivery Comment:,Comentário de entrega do cliente:
Area Removed,Área removida
Is Required?,É necessário?
Area Sorting,Classificação de área
Please select,Por favor selecione
Newest posts first,Postagens mais recentes primeiro
Oldest posts first,Postagens mais antigas primeiro
1,1
2,2
3,3
4,4
5,5
6,6
2 columns,2 columns
3 columns,3 columns
4 columns,4 columns
5 columns,5 columns
6 columns,6 columns
7 columns,7 columns
8 columns,8 columns
9 columns,9 columns
10 columns,10 columns
11 columns,11 columns
12 columns,12 columns
7,7
8,8
9,9
10,10
11,11
12,12
Zoom,Ampliação
Zoom Overlay,Sobreposição de zoom
Box Effect,Efeito Caixa
Overlay,Sobreposição
Style 1 - Default,Estilo 1 - Padrão
Style 2,Estilo 2
Style 3,Estilo 3
Quickview,Olhada rápida
Popup Boxes,Caixas pop-up
0px,0px
10px,10px
20px,20px
30px,30px
40px,40px
Best Seller,Mais vendidos
Featured,Destaque
Most Viewed,Mais visto
New Arrival,Nova chegada
Top Rate,Tarifa Máxima
On Sale,À venda
Trending,Trending
Random,Aleatório
Photo Swipe,Deslizar foto
Open Link,Link aberto
Grid,Grid
Packery,Embaladora
Carousel,Carrossel
Square,Quadrado
Circle,Círculo
Store URL,URL da loja
By,Por
on,sobre
Read More,consulte Mais informação
No blog posts were found matching your condition.,Nenhuma postagem de blog foi encontrada que corresponda à sua condição.
share,compartilhar
Facebook,Facebook
Twitter,Twitter
Pinterest,pinterest
Google,Google
Get Only,Obter apenas
Collect Product Data BestSeller Successfully.,Colete os dados do produto Best-Seller com sucesso.
Collect Product Data MostViewed Successfully.,Colete os dados do produto mais vistos com sucesso.
Collect Product Data TopRate Successfully.,Colete os dados do produto TopRate com sucesso.
Dots,pontos
Thumbs,Polegares
Append,Acrescentar
After,Depois
Before,Antes da
Left,Deixei
Right,Certo
Bottom,Fundo
Categories: ,Categorias:
Export Blocks,Blocos de exportação
Export Pages,Exportar páginas
Import Block,Bloco de Importação
Import Page,Importar página
Close (Esc),Fechar (Esc)
Share,Compartilhar
Toggle fullscreen,Alternar para o modo tela cheia
Zoom in/out,Ampliar/diminuir
Previous (arrow left),Anterior (seta para a esquerda)
Next (arrow right),Avançar (seta para a direita)
List,Lista
Defaut,Padrão
Canvas,Tela
Search Results:,Procurar Resultados:
Search Result:,Resultado da pesquisa:
Need some inspiration?,Precisa de alguma inspiração?
Search,Pesquisa em toda a loja…
products,produtos
Search Our Site,Pesquise em nosso site
All Categories,todas as categorias
Search product,Pesquisar produto
Clear Field,campo limpo
Account,Conta
Wishlist,Lista de Desejos
Cart,Carrinho
Quick search:,Pesquisa rápida:
Dark,Escuro
Light,Leve
Add a lable,Adicionar um rótulo
Delete Product,Excluir produto
Lookbook,Lookbook
Add Lookbook,Lookbook de anúncios
ID,EU IRIA
Name,Nome
Title Link,Título Link
Button Style,Estilo do botão
Images,Imagens
Action,Ação
This Lookbook no longer exists.,Este Lookbook não existe mais.
Deleted Success.,Sucesso excluído.
Delete was not found.,Excluir não foi encontrado.
Manage Lookbook,Gerenciar Lookbook
Labels has been deleted.,Os marcadores foram excluídos.
Edit success.,Edite o sucesso.
Add success.,Adicione sucesso.
Something went wrong while saving the.,Algo deu errado ao salvar o arquivo.
Root,Raiz
' . 'name,' . 'nome
General,Em geral
Image,Imagem
Change Image,Alterar imagem
Select Image,Selecione a imagem
Add Product,Adicionar produto
Search Product,Pesquisar Produto
View Detail,Ver detalhes
"No Lookbook items were found matching your condition. You can add items in ""Blueskytechco > LookBook > Manage Items"".","Nenhum item do Lookbook foi encontrado que corresponda à sua condição. Você pode adicionar itens em ""Blueskytechco > LookBook > Gerenciar itens""."
Are you sure you want to do this?,Você tem certeza de que quer fazer isso?
All Store Views,Todas as visualizações da loja
Save Size Chart,Salvar tabela de tamanhos
Edit Size Chart '%1',Editar Tabela de Tamanhos '%1'
New Size Chart,Nova tabela de tamanhos
Store View,Visualização da loja
Display,Exibição
Tab Content,Conteúdo da aba
Popup Content,Conteúdo pop-up
Edit Content,Editar conteúdo
Main,Principal
Use Attribute,Usar atributo
Attribute,Atributo
Information,Em formação
Success,Sucesso
Edit Size Chart,Editar tabela de tamanhos
Size Chart,Tabela de tamanhos
Size Guide,Guia de tamanho
A total of %1 record(s) have been deleted.,Um total de %1 registro(s) foi(ão) excluído(s).
The size chart has been saved.,A tabela de tamanhos foi salva.
Something went wrong while saving the size chart.,Algo deu errado ao salvar a tabela de tamanhos.
Unable to remove store %1,Não foi possível remover a loja %1
Size guide,Guia de tamanho
Save Store,Salvar loja
Delete Store,Excluir loja
Edit Store '%1',Editar Loja '%1'
Add Store,Adicionar loja
Informations,Informações
Description,Descrição
Status,Status
Address,Endereço
City,Cidade
Zip Code,Código postal
Country,País
E-mail,E-mail
Phone Number,Número de telefone
Fax,Fax
Website,Local na rede Internet
Store Image,Imagem da loja
Localization informations,Informações de localização
Latitude,Latitude
Longitude,Longitude
Store Location,Localização da loja
Monday,Segunda-feira
Tuesday,Terça-feira
Wednesday,Quarta-feira
Thursday,Quinta-feira
Friday,Sexta-feira
Saturday,Sábado
Sunday,Domingo
Store Edit,Loja Editar
General Informations,Informações gerais
Work Time,Tempo de trabalho
Location Map,Mapa de localização
Closed,Fechadas
Open,Abrir
Open Time,Tempo aberto
Closed Time,Horário Fechado
Google Api Key is not set! Go to Stores -> Configuration -> Blueskytechco Extensions -> Store Locator to change extension settings.,A chave de API do Google não está definida! Vá para Lojas -> Configuração -> Extensões Blueskytechco -> Localizador de Lojas para alterar as configurações de extensão.
The store has been deleted.,A loja foi deletada.
We can't find a store to delete.,Não encontramos uma loja para excluir.
This store no longer exists.,Esta loja não existe mais.
Edit Store,Editar loja
Add New Store,Adicionar nova loja
Storelocator Stores,Localizador de Lojas
Store Locator - Stores,Localizador de Lojas - Lojas
A total of %1 store(s) have been deleted.,Um total de %1 loja(s) foi(ão) excluído(s).
A total of %1 store(s) have been disabled.,Um total de %1 loja(s) foram desativados.
A total of %1 store(s) have been enabled.,Um total de %1 loja(s) foi(ão) ativado(s).
The store has been saved.,A loja foi salva.
Something went wrong while saving the store.,Algo deu errado ao salvar a loja.
Zip,Fecho eclair
Opening Hours:,Horário de Funcionamento:
Store Locator,Localizador de lojas
--Please Select--,--Por favor selecione--
Enabled,Habilitado
Disabled,Desabilitado
"Delete ""${ $.$data.title }""","Excluir ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" store?","Tem certeza de que deseja excluir uma loja ""${ $.$data.title }""?"
Phone,Telefone
Email,E-mail
Get Directions,Obter direções
Enter a location,Insira um local
Testimonial,Depoimento
Add New Testimonial,Adicionar novo depoimento
Save Testimonial,Salvar depoimento
Close Window,Janela fechada
Save and Close,Salvar e fechar
Testimonial Information,Informações de depoimento
Author,Autor
Avatar,Avatar
Quote,Citar
Job,Trabalho
Summary Rating,Classificação Resumida
Detailed Rating,Avaliação detalhada
Order,Ordem
Edit Testimonial '%1',Editar depoimento '%1'
New Testimonial,Novo depoimento
General Information,Informações gerais
Testimonial ID,Identificação do depoimento
Rating,Avaliação
Are you sure?,Tem certeza?
Delete successfully !,Excluir com sucesso!
This Testimonial no longer exists.,Este depoimento não existe mais.
Please select testimonial(s).,Selecione o(s) depoimento(s).
The Testimonial menu has been saved.,O menu Depoimento foi salvo.
Something went wrong while saving the testimonial.,Algo deu errado ao salvar o depoimento.
Type,Modelo
Identifier,identificador
Add Tab,Adicionar guia
Live Preview,Visualização ao vivo
Activate,Ativar
Active: ,Ativo:
Can not get the data file.,Não é possível obter o arquivo de dados.
Reset Now,Redefinir agora
Elements Blocks Exported.,Blocos de elementos exportados.
Configuration Exported.,Configuração exportada.
Elements Pages Exported.,Páginas de elementos exportadas.
Elements Template Exported.,Modelo de elementos exportado.
Lookbook Exported.,Lookbook exportado.
Fetch Google Fonts via API Successfully.,Busque Google Fonts via API com sucesso.
 minutes ago,  minutos atrás
view,Visão
NEW,NOVO
SALE,OFERTA
Grid 3 Columns,Grade 3 Colunas
Grid 4 Columns,Grade 4 Colunas
Grid with Sidebar,Grade com barra lateral
Blog List,Lista de blogs
6 Columns,6 Columns
7 Columns,7 Columns
8 Columns,8 Columns
9 Columns,9 Columns
10 Columns,10 Columns
11 Columns,11 Columns
12 Columns,12 Columns
Select Blocks,Selecionar Blocos
Tabs Default,Padrão de guias
Tabs Accordions,Tablaturas Acordeões
Tabs Accordions 2,Tablaturas Acordeões 2
Product Default Thumbnails,Miniaturas padrão do produto
Product Bottom Thumbnails,Miniaturas inferiores do produto
Product Right Thumbnails,Miniaturas corretas do produto
Product Without Thumbnails,Produto sem miniaturas
Load More Button,Botão Carregar Mais
Infinit scrolling,Rolagem infinita
Custom Fonts,Fontes personalizadas
Google Fonts,Fontes do Google
Default,Predefinição
--- Select ---,--- Selecione ---
8px,8px
9px,9px
11px,11px
12px,12px
13px,13px
14px,14px
15px,15px
16px,16px
17px,17px
18px,18px
19px,19px
21px,21px
22px,22px
23px,23px
24px,24px
25px,25px
26px,26px
300,300
400,400
500,500
600,600
700,700
800,800
900,900
Layout 1 - Default,Layout 1 - Default
Layout 2,Layout 2
Layout 3,Layout 3
Layout 4,Layout 4
Layout 5,Layout 5
Layout 6,Layout 6
Layout 6 ,Layout 6 
Layout 7 ,Layout 7 
Layout 8 ,Layout 8 
Layout 9 ,Layout 9 
Layout 10 ,Layout 10 
Layout 11 ,Layout 11 
Layout 12 ,Layout 12 
Layout 7,Layout 7
Layout 8,Layout 8
Layout 9,Layout 9
Layout 10,Layout 10
Layout 11,Layout 11
Layout 12,Layout 12
1200px,1200px
1170px,1170px
1370px,1370px
1440px,1440px
1920px,1920px
Box Layout,Box Layout
Product Base Image,Imagem Base do Produto
Product Small Image,Imagem pequena do produto
Product Thumbnail Image,Imagem em miniatura do produto
No,Não
Enable on Homepage,Ativar na página inicial
Enable on All Pages,Ativar em todas as páginas
Default Layout,Layout padrão
Grid Layout,Esquema de Grade
Masonry Layout,Layout de alvenaria
Full Width Layout,Layout de largura total
Packery Layout,Layout da embalagem
Filter Canvas,Filtro de Tela
Product Detail Default,Detalhe do produto padrão
Product Detail Layout 1,Layout de detalhes do produto 1
Product Detail Layout 2,Layout de detalhes do produto 2
Product Detail Layout 3,Layout de detalhes do produto 3
Product Detail Layout 4,Layout de detalhes do produto 4
Style 4,Estilo 4
Enable,Permitir
Disable,Desativar
Custom,Personalizado
1:1,1:1
Inner Zoom #1,Zoom interno #1
External Zoom,Zoom Externo
Inner Zoom #2,Zoom interno #2
Theme successfully activated using manual activation. Thanks for buying our theme.,Tema ativado com sucesso usando a ativação manual. Obrigado por comprar nosso tema.
msg,msg
"You are using localhost, so do not need use purchase code.","Você está usando localhost, então não precisa usar o código de compra."
"Cannot resize image ""%1"" - original image not found","Não é possível redimensionar a imagem ""%1"" - imagem original não encontrada"
Cannot resize images - product images not found,Não é possível redimensionar imagens - imagens do produto não encontradas
Do not show it anymore.,Não mostre mais.
%1,%1
Add New Category,Adicionar nova categoria
Import Categories,Categorias de importação
Import Comments,Importar comentários
All Authors,Todos os autores
Start Import,Iniciar Importação
NOTICE,NOTICE
Database Name,Nome do banco de dados
User Name,Nome de usuário
Password,Senha
Database Host,Host do banco de dados
Table Prefix,Prefixo da Tabela
Post,Publicar
Add New Post,Adicionar nova postagem
Import Posts,Importar postagens
"Images (.gif, .jpg, .png)","Imagens (.gif, .jpg, .png)"
Add New Images,Adicionar novas imagens
Please select post IDs,"Por favor, selecione IDs de postagem"
Post Id,Id da postagem
Tag,Marcação
Add New Tag,Adicionar nova etiqueta
Import Tags,Marcas de Importação
Select Post IDs ...,Selecione Post IDs...
Not Selected,Não selecionado
Monthly Archives: %s %s,Arquivos mensais: %s %s
Home,Home
Go to Home Page,Vá para a página inicial
Page,Página
"Search ""%1""","Pesquisar ""%1"""
Blog import type is not specified.,O tipo de importação do blog não foi especificado.
Blog Import from %1 Blog,Blog Importar de %1 Blog
Something went wrong: ,Algo deu errado:
Blog Import,Importação de blog
"The import process was completed successfully. 
                        %1 posts, %2 categories, %3 tags, %4 authors and %5 comments where imported.","The import process was completed successfully. 
                        %1 posts, %2 categories, %3 tags, %4 authors and %5 comments where imported."
"The import process completed. %1 posts, %2 categories, %3 tags, %4 authors and %5 comments where imported. 
                        Some posts or categories or tags or comments where skipped. %5 %6 %7 %8 %9","The import process completed. %1 posts, %2 categories, %3 tags, %4 authors and %5 comments where imported. 
                        Some posts or categories or tags or comments where skipped. %5 %6 %7 %8 %9"
Nothing to import.,Nada a importar.
Can not make import.,Não é possível fazer importação.
Something went wrong %1,Algo correu mal %1
Please enter your name and email,"Por favor, insira seu nome e e-mail"
Login to submit comment,Faça login para enviar comentário
You cannot post comment. Blog post is not longer exist.,Você não pode postar comentários. A postagem no blog não existe mais.
You cannot reply to this comment. Comment is not longer exist.,Você não pode responder a este comentário. O comentário não existe mais.
You cannot reply to this comment.,Você não pode responder a este comentário.
You submitted your comment for moderation.,Você enviou seu comentário para moderação.
Thank you for your comment.,Obrigado pelo seu comentário.
Database connection error,Erro de conexão do banco de dados
Unable to save item,Não foi possível salvar o item
Requested item doesn't exist,O item solicitado não existe
Unable to remove item,Não foi possível remover o item
Duplicated,duplicado
Comment text is too short.,O texto do comentário é muito curto.
"Some blog comments are pending for approval. <a href=""%1"">Manage Comments</a>.","Alguns comentários do blog estão pendentes de aprovação. <a href=""%1"">Gerenciar comentários</a>."
Guest,Convidado
Customer,Cliente
Admin,Administrador
All Blog Pages,Todas as páginas do blog
Blog Index Page,Página de índice do blog
Blog Post Page,Página de postagem do blog
Blog Category Page,Página da categoria do blog
Blog Author Page,Página do autor do blog
Blog Archive Page,Página de arquivo do blog
Blog Tag Page,Página de tags do blog
Posts (default),Postagens (padrão)
Posts Links,Links de Postagens
Subcategories Links,Subcategorias Links
Posts & Subcategories Links,Links de Postagens e Subcategorias
Pending,Pendente
Approved,aprovado
Not Approved,Não aprovado
Use Magefan Blog Comments,Use os comentários do blog Magefan
Use Facebook Comments,Usar comentários do Facebook
Use Disqus Comments,Usar Comentários do Disqus
Recent Blog Posts,Postagens de blog recentes
Featured Blog Posts,Postagens de blog em destaque
Blank (Use widgets to build the page content),Em branco (use widgets para criar o conteúdo da página)
Yes (With auto trigger),Sim (com gatilho automático)
Yes (Without auto trigger),Sim (sem acionamento automático)
Default: mystore.com/{blog_route}/{post_route}/post-title/,Padrão: mystore.com/{blog_route}/{post_route}/post-title/
Short: mystore.com/{blog_route}/post-title/,Curto: mystore.com/{blog_route}/post-title/
Publish Date (default),Data de publicação (padrão)
Position,Posição
Parameter %1 is required,O parâmetro %1 é obrigatório
AheadWorks Blog Extension not detected.,AheadWorks Blog Extension não detectada.
Mageplaza Blog Extension not detected.,A extensão do blog Mageplaza não foi detectada.
Unable to determine blog entity ID.,Não foi possível determinar o ID da entidade do blog.
'Unable to load blog attribute %1.' .,'Não foi possível carregar o atributo %1 do blog.' .
Mirasvit Blog Extension not detected.,A extensão de blog Mirasvit não foi detectada.
The category URL key contains disallowed symbols.,A chave de URL da categoria contém símbolos não permitidos.
The category URL key cannot be made of only numbers.,A chave de URL da categoria não pode ser composta apenas por números.
URL key is already in use by another blog item.,A chave de URL já está sendo usada por outro item de blog.
The post URL key contains disallowed symbols.,A chave de URL da postagem contém símbolos não permitidos.
The post URL key cannot be made of only numbers.,A chave de URL da postagem não pode ser feita apenas de números.
The tag is already exist.,A tag já existe.
The tag URL key contains disallowed symbols.,The tag URL key contains disallowed symbols.
The tag URL key cannot be made of only numbers.,The tag URL key cannot be made of only numbers.
"Magefan Blog is disabled, to enable the extension please navigate to
                        <a href=""%1"" target=""_blank"">Stores > Configuration > Magefan Extensions > Blog</a>.","Magefan Blog is disabled, to enable the extension please navigate to
                        <a href=""%1"" target=""_blank"">Stores > Configuration > Magefan Extensions > Blog</a>."
"Magefan Blog <strong>Product Key</strong> is missing.
                        Blog Extension will be automatically disabled soon. Please specify the product key in
                        <a href=""%1"" target=""_blank"">Stores > Configuration > Magefan Extensions > Blog</a>.","Magefan Blog <strong>Product Key</strong> is missing.
                        Blog Extension will be automatically disabled soon. Please specify the product key in
                        <a href=""%1"" target=""_blank"">Stores > Configuration > Magefan Extensions > Blog</a>."
"Possible conflict. If you have problems with the module Magefan Blog, try to disable the following modules: %1. To disable module please run following command in the Magento root directory: bin/magento module:disable Vendor_ModuleName","Possible conflict. If you have problems with the module Magefan Blog, try to disable the following modules: %1. To disable module please run following command in the Magento root directory: bin/magento module:disable Vendor_ModuleName"
Leave a review about the blog extension,Leave a review about the blog extension
Nead a new blog feature?,Nead a new blog feature?
Browse to find or drag image here,Browse to find or drag image here
Delete image,Delete image
Hidden,Hidden
"Your Blog Extension is out of date. You can update it to the <strong>version %1</strong>
                     via composer or you can download the new version archive from the 
                     <a href=""%2"" target=""_blank"">Magefan Store</a>.
                     Please <a href=""%3""   target=""_blank"">contact</a> 
                     Magefan Team if you have any questions or need help with an update.","Your Blog Extension is out of date. You can update it to the <strong>version %1</strong>
                     via composer or you can download the new version archive from the 
                     <a href=""%2"" target=""_blank"">Magefan Store</a>.
                     Please <a href=""%3""   target=""_blank"">contact</a> 
                     Magefan Team if you have any questions or need help with an update."
Posted:,Publicado:
Categories:,Categorias:
Comments:,Comentários:
Tags:,Tag:
Author:,Autor:
Views:,Visualizações:
We can't find posts matching the selection.,Não encontramos postagens que correspondam à seleção.
Read more &#187;,Leia mais &#187;
See more,Ver mais
Posts loader,Carregador de mensagens
Tags,Tag
%1 Comment(s),%1 Comentário(s)
Add a comment...,Adicione um comentário...
Sign in to add a comment...,Faça login para adicionar um comentário...
Full Name,Nome completo
Sign In,Entrar
Load more comments,Carregar mais comentários
Add a reply...,Adicionar uma resposta...
Reply,Responder
Show more replies in this thread,Mostrar mais respostas neste tópico
privacy policy,política de Privacidade
"Yes, I have read the %1 and agree to the processing of my personal data.","Sim, li %1 e concordo com o processamento dos meus dados pessoais."
Read %1,Leia %1
Next,Próximo
&larr; Previous,&larr; Anterior
Next &rarr;,Próxima &rarr;
Related Posts,Postagens Relacionadas
Related Products,produtos relacionados
Archive,Arquivo
Archive %1,Arquivo %1
Recent Posts,Postagens recentes
RSS Feed,Feed RSS
Search posts here...,Pesquise postagens aqui...
Read more >,Leia mais >
Create,Crio
Duplicate,Duplicado
Preview,Visualização
Extensions to Update,Extensões para Atualizar
Up-to-Date Extensions,Extensões atualizadas
Available NEW Extensions,NOVAS extensões disponíveis
Extension,Extensão
Version,Versão
Change Log,Registo de Alterações
User Guide,Guia de usuario
Manage %1,Gerenciar %1
Edit %1,Editar%1
New %1,Novo %1
Create %1,Criar %1
Something went wrong: %1,Algo deu errado: %1
%1 has been saved.,%1 foi salvo.
Something went wrong while saving this %1. %2,Algo deu errado ao salvar este %1. %2
%1 has been duplicated.,%1 foi duplicado.
We can't delete %1 right now. %2,Não podemos deletar %1 agora. %2
%1 have been deleted.,%1 foram excluídos.
"Parameter ""Status"" missing in request data.","Parâmetro ""Status"" ausente nos dados da solicitação."
Status Field Name is not specified.,O nome do campo de status não foi especificado.
We can't change status of %1 right now. %2,Não podemos alterar o status de %1 agora. %2
%1 status have been changed.,O status %1 foi alterado.
WYSIWYG Editor,Editor WYSIWYG
Gift Card,Cartão Presente
GiftCard Information,Informações do vale-presente
Order Information,Informações do pedido
Edit Gift Card,Editar vale-presente
Id,Identidade
Code,Código
Balance,Equilíbrio
Scheduled Sent Time,Horário de envio agendado
Expiry Date,Data de validade
Created Date,Data de criação
Product,produtos
Recipient Information,Informações do destinatário
Sender Name,Nome do remetente
Sender Email,e-mail do remetente
Recipient Name,Nome do Destinatário
Recipient Email,E-mail do destinatário
Headline,Título
Message,Mensagem
View Design,Ver Desenho
View Design with pdf format,Visualize o projeto em formato pdf
View Gift card pdf,Ver PDF do vale-presente
Created At,Criado em
Amount,Quantia
Save Template,Salvar modelo
Delete Template,Excluir modelo
Edit template '%1',Editar modelo '%1'
New Templates,Novos modelos
Background Image Uploads,Uploads de imagens de plano de fundo
General Configuration,Configuração Geral
Template Name,Nome do modelo
Design Style,estilo de design
Main Image Coordinates,Coordenadas da Imagem Principal
Message Box Coordinates,Coordenadas da caixa de mensagem
